               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10331,            0.042688,            0.097359,          0.00010336,          0.00028019,          5.4543e-05,          2.1817e-05,            0.065742,            0.033154,             0.09004,            0.070265,           0.0033038,           0.0033038
                   1,            0.063837,            0.035868,             0.08944,           0.0043512,            0.066616,           0.0032787,          0.00096705,            0.055132,            0.029836,            0.088642,            0.040244,           0.0066153,           0.0066153
                   2,            0.058643,            0.029228,            0.088304,             0.58924,            0.053483,            0.018109,            0.005513,            0.059213,            0.021591,            0.086794,              0.0102,           0.0099047,           0.0099047
                   3,            0.055658,            0.021595,             0.08631,             0.55444,             0.11133,            0.027651,            0.012841,            0.043139,            0.019372,            0.085106,            0.009901,            0.009901,            0.009901
                   4,            0.049091,            0.018161,            0.084883,             0.74649,             0.12194,            0.044451,            0.024161,             0.04255,            0.013872,            0.083703,            0.009901,            0.009901,            0.009901
                   5,            0.046819,            0.013609,            0.083913,             0.67866,            0.091556,            0.051772,            0.027407,            0.043089,            0.012109,            0.082812,            0.009868,            0.009868,            0.009868
                   6,            0.043738,            0.012303,            0.082865,             0.65054,             0.14718,            0.053417,            0.026567,            0.037784,             0.01162,            0.082023,            0.009835,            0.009835,            0.009835
                   7,            0.040261,            0.011552,            0.082577,             0.63039,             0.10016,            0.057733,            0.029193,            0.036873,            0.010757,            0.081381,            0.009802,            0.009802,            0.009802
                   8,            0.039563,            0.011199,            0.081455,             0.61397,             0.12217,            0.056456,            0.025696,            0.032057,            0.010077,            0.080414,            0.009769,            0.009769,            0.009769
                   9,            0.037529,            0.010626,            0.081009,             0.55152,             0.12883,            0.061422,            0.040062,             0.03312,           0.0096874,             0.07913,            0.009736,            0.009736,            0.009736
                  10,            0.036021,            0.010133,            0.079838,             0.59881,             0.13055,            0.067628,             0.03723,            0.029667,           0.0095046,              0.0783,            0.009703,            0.009703,            0.009703
                  11,            0.034499,           0.0097973,            0.078345,             0.52287,             0.16083,            0.067435,            0.045216,            0.032335,            0.009141,            0.077251,             0.00967,             0.00967,             0.00967
                  12,            0.034985,           0.0097289,            0.077515,             0.56767,             0.16218,             0.07237,             0.04643,            0.027192,           0.0085773,            0.076364,            0.009637,            0.009637,            0.009637
                  13,            0.034607,           0.0096489,            0.076344,             0.62379,             0.16384,            0.079186,            0.053668,            0.026778,           0.0084882,            0.075469,            0.009604,            0.009604,            0.009604
                  14,            0.033118,             0.00941,            0.075757,             0.66306,             0.11338,            0.086354,            0.052003,            0.031314,           0.0084364,            0.074865,            0.009571,            0.009571,            0.009571
                  15,             0.03323,           0.0091095,            0.075587,             0.68164,             0.14469,            0.098075,            0.056789,            0.027275,           0.0083569,            0.074147,            0.009538,            0.009538,            0.009538
                  16,            0.032107,           0.0087959,            0.074625,             0.76181,             0.14193,             0.11102,            0.069139,            0.028663,           0.0081709,            0.073209,            0.009505,            0.009505,            0.009505
                  17,            0.031482,           0.0087697,            0.073589,             0.71766,             0.13145,             0.11459,            0.081341,            0.028342,           0.0079599,            0.072542,            0.009472,            0.009472,            0.009472
                  18,            0.031463,           0.0087499,            0.072886,             0.71917,             0.15838,             0.11816,              0.0774,            0.027646,           0.0078707,             0.07163,            0.009439,            0.009439,            0.009439
                  19,            0.029942,           0.0084017,            0.071463,             0.69877,             0.18482,             0.12513,            0.085183,            0.025868,           0.0076872,            0.070659,            0.009406,            0.009406,            0.009406
                  20,            0.030411,           0.0082252,            0.071055,             0.69968,             0.20349,                0.13,            0.098892,            0.024995,           0.0078572,            0.069406,            0.009373,            0.009373,            0.009373
                  21,            0.031088,           0.0085694,            0.069511,              0.7407,             0.17486,             0.13294,             0.09531,            0.024035,            0.007426,            0.068407,             0.00934,             0.00934,             0.00934
                  22,            0.030635,           0.0078655,            0.069471,             0.75103,             0.18263,             0.14303,             0.10516,            0.022822,           0.0075998,            0.067336,            0.009307,            0.009307,            0.009307
                  23,            0.029418,           0.0083363,            0.068044,             0.76477,             0.16701,             0.14799,            0.095955,            0.024345,           0.0074483,            0.065945,            0.009274,            0.009274,            0.009274
                  24,            0.029672,           0.0083616,            0.066835,             0.62794,             0.21239,               0.153,            0.094714,            0.022716,           0.0073485,            0.065011,            0.009241,            0.009241,            0.009241
                  25,            0.028902,           0.0078872,            0.065693,             0.66014,             0.20207,             0.15331,             0.10882,            0.023971,           0.0071353,            0.063456,            0.009208,            0.009208,            0.009208
                  26,             0.02842,           0.0077288,            0.063909,             0.73062,             0.18187,             0.15994,             0.11552,            0.022982,           0.0071702,            0.062995,            0.009175,            0.009175,            0.009175
                  27,            0.029174,           0.0081104,            0.063604,             0.77041,             0.18393,             0.16037,             0.11114,            0.023877,           0.0071893,            0.061833,            0.009142,            0.009142,            0.009142
                  28,            0.029298,           0.0078802,            0.062076,             0.75962,             0.17585,             0.15994,             0.10641,            0.025495,            0.007233,            0.061086,            0.009109,            0.009109,            0.009109
                  29,             0.02928,           0.0079114,            0.061872,             0.72267,             0.19702,             0.16741,             0.12709,            0.023925,           0.0070108,            0.060203,            0.009076,            0.009076,            0.009076
                  30,            0.028849,           0.0076933,            0.061239,             0.77784,             0.18361,             0.16964,             0.11817,            0.021524,           0.0069826,             0.05975,            0.009043,            0.009043,            0.009043
                  31,             0.02799,           0.0077543,            0.061744,             0.73242,             0.21454,             0.17461,             0.12497,            0.022418,           0.0068434,            0.059238,             0.00901,             0.00901,             0.00901
                  32,            0.028349,           0.0076476,            0.060609,             0.79128,             0.19036,             0.18351,             0.13372,            0.021274,           0.0068838,             0.05852,            0.008977,            0.008977,            0.008977
                  33,            0.028578,           0.0074294,            0.060235,             0.87035,             0.16921,             0.18412,             0.13849,            0.021681,           0.0067654,            0.058344,            0.008944,            0.008944,            0.008944
                  34,            0.027775,           0.0076285,            0.058592,             0.82394,             0.18756,             0.19449,             0.14618,            0.020251,           0.0069684,             0.05741,            0.008911,            0.008911,            0.008911
                  35,             0.02683,           0.0074715,            0.058004,             0.84394,             0.17831,             0.18988,             0.14497,            0.019063,           0.0066954,            0.056813,            0.008878,            0.008878,            0.008878
                  36,            0.027009,           0.0074706,             0.05819,             0.84236,             0.17503,             0.20243,             0.14904,            0.020633,           0.0068468,            0.056052,            0.008845,            0.008845,            0.008845
                  37,            0.027409,           0.0075042,            0.057418,              0.6717,             0.25876,             0.20943,              0.1504,            0.020167,           0.0065286,            0.055723,            0.008812,            0.008812,            0.008812
                  38,            0.027362,           0.0075064,            0.057149,              0.6475,             0.26389,             0.21034,              0.1529,            0.019926,           0.0066757,            0.055012,            0.008779,            0.008779,            0.008779
                  39,            0.026877,           0.0074332,            0.056415,             0.66366,             0.26904,             0.21883,             0.16483,            0.019967,            0.006622,            0.054283,            0.008746,            0.008746,            0.008746
                  40,            0.026507,           0.0076048,            0.057251,             0.72733,             0.26783,             0.23443,             0.16503,            0.020468,           0.0066457,            0.053917,            0.008713,            0.008713,            0.008713
