               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14212,            0.025191,            0.048785,                   0,                   0,                   0,                   0,             0.14675,            0.021626,            0.056731,              0.0982,              0.0002,              0.0002
                   1,             0.14045,            0.024233,            0.055745,                   0,                   0,                   0,                   0,              0.1443,            0.020258,            0.052473,            0.095498,          0.00049835,          0.00049835
                   2,             0.13994,            0.022922,            0.047093,          8.0867e-05,            0.010753,          4.6763e-05,          1.4029e-05,             0.14095,            0.018999,            0.046349,            0.092795,          0.00079472,          0.00079472
                   3,             0.13556,            0.022128,            0.043566,          7.7954e-05,            0.010753,          4.0716e-05,          8.1432e-06,             0.13754,            0.017881,            0.040194,            0.090089,           0.0010891,           0.0010891
                   4,             0.13317,            0.020701,            0.036152,          0.00015694,            0.031586,          8.7084e-05,          8.7084e-06,             0.13071,            0.017189,             0.03609,            0.087382,           0.0013815,           0.0013815
                   5,             0.12807,            0.019922,            0.034379,          6.7613e-05,            0.010753,          4.4303e-05,          4.4303e-06,             0.12954,            0.016342,             0.03406,            0.084672,            0.001672,            0.001672
                   6,             0.12976,            0.020164,            0.032065,          6.5295e-05,            0.010753,          6.3733e-05,          1.2747e-05,             0.12893,            0.015505,            0.032211,             0.08196,           0.0019604,           0.0019604
                   7,              0.1249,            0.019201,            0.031962,          0.00034849,            0.063844,          0.00027055,          3.0585e-05,             0.12285,            0.015438,            0.031693,            0.079247,           0.0022469,           0.0022469
                   8,             0.12416,            0.018027,            0.030261,          0.00022093,            0.042339,          0.00021425,          6.1652e-05,             0.12364,            0.014921,             0.03078,            0.076531,           0.0025314,           0.0025314
                   9,             0.12452,            0.018706,             0.02849,           0.0002476,            0.052419,          0.00022933,          3.0326e-05,             0.12602,            0.014471,            0.030215,            0.073814,           0.0028139,           0.0028139
                  10,             0.12729,            0.017541,            0.029253,          0.00036979,            0.073925,          0.00027017,          5.6355e-05,             0.12113,            0.014225,            0.029366,            0.071094,           0.0030944,           0.0030944
                  11,             0.12003,            0.018556,            0.025449,          0.00042621,            0.084677,          0.00027176,          7.5543e-05,             0.11866,            0.014194,            0.028221,            0.068373,           0.0033729,           0.0033729
                  12,             0.11571,            0.018193,             0.02314,          0.00080237,             0.15927,           0.0010525,          0.00023888,             0.11374,            0.014235,            0.026994,             0.06565,           0.0036495,           0.0036495
                  13,             0.11473,            0.015984,            0.026527,           0.0013146,             0.26478,           0.0024462,          0.00066304,              0.1068,            0.014585,            0.025126,            0.062924,           0.0039241,           0.0039241
                  14,             0.10818,            0.016719,            0.023464,           0.0010798,             0.22379,           0.0014302,          0.00026947,             0.11376,            0.013625,            0.024204,            0.060197,           0.0041967,           0.0041967
                  15,             0.11414,            0.015986,            0.024054,          0.00084506,             0.18212,           0.0063067,           0.0014017,             0.10064,            0.014793,             0.02574,            0.057467,           0.0044673,           0.0044673
                  16,             0.10381,            0.016999,            0.023777,           0.0010991,             0.23454,           0.0066253,           0.0022574,             0.09893,            0.014472,            0.027475,            0.054736,            0.004736,            0.004736
                  17,              0.1006,            0.016183,            0.019869,           0.0011747,             0.24462,            0.016615,           0.0027582,             0.10592,            0.013376,            0.027235,            0.052003,           0.0050027,           0.0050027
