               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094186,            0.041757,            0.093777,          0.00066916,           0.0084581,           0.0003742,           0.0001271,            0.059791,            0.030018,            0.088796,            0.070133,           0.0033185,           0.0033185
                   1,            0.056601,            0.029835,            0.088787,            0.034849,             0.25488,            0.024385,            0.010308,            0.048414,            0.022402,            0.086941,            0.040111,           0.0066299,           0.0066299
                   2,            0.057986,            0.021082,            0.085982,              0.6316,            0.034722,            0.042497,            0.018909,             0.05112,            0.017283,            0.084318,            0.010067,           0.0099193,           0.0099193
                   3,            0.054783,            0.016343,             0.08483,              0.4899,            0.061837,            0.052991,            0.023694,            0.040028,              0.0143,            0.082506,            0.009901,            0.009901,            0.009901
                   4,            0.047787,            0.013441,            0.083473,             0.61465,             0.08874,            0.062629,            0.027188,              0.0366,             0.01239,            0.081073,            0.009901,            0.009901,            0.009901
                   5,            0.042726,            0.011678,            0.081678,             0.62345,             0.10079,            0.079884,            0.045319,            0.035732,            0.010548,            0.079866,            0.009868,            0.009868,            0.009868
                   6,            0.038966,            0.010924,            0.080533,             0.67459,             0.13633,            0.095355,            0.048787,            0.032189,            0.009619,            0.078574,            0.009835,            0.009835,            0.009835
                   7,            0.038614,            0.010154,              0.0795,               0.743,              0.1261,             0.10897,            0.054922,            0.036873,           0.0091374,            0.077243,            0.009802,            0.009802,            0.009802
                   8,            0.038497,           0.0091408,            0.078068,              0.6499,             0.15064,             0.12039,            0.067019,            0.029497,           0.0086761,            0.075596,            0.009769,            0.009769,            0.009769
                   9,            0.037171,             0.00899,            0.075628,             0.66105,             0.15787,             0.12454,            0.073827,            0.031724,            0.008466,            0.073273,            0.009736,            0.009736,            0.009736
                  10,            0.036536,           0.0089445,            0.074024,             0.71682,             0.19734,             0.14239,            0.090761,            0.030625,           0.0083148,            0.070761,            0.009703,            0.009703,            0.009703
                  11,            0.034955,           0.0088626,            0.071978,             0.69029,             0.19617,             0.15215,             0.10145,            0.026521,           0.0081254,            0.068418,             0.00967,             0.00967,             0.00967
                  12,            0.034181,           0.0086304,             0.06935,              0.7407,             0.20376,             0.15781,            0.098086,            0.030223,           0.0081206,            0.066295,            0.009637,            0.009637,            0.009637
                  13,             0.03422,            0.008502,            0.067584,             0.62584,             0.22984,             0.15385,            0.085283,            0.030711,           0.0078487,            0.064428,            0.009604,            0.009604,            0.009604
                  14,            0.032915,           0.0083463,             0.06492,             0.69215,              0.2315,             0.17785,             0.10575,            0.028369,           0.0076398,            0.062955,            0.009571,            0.009571,            0.009571
                  15,            0.031518,           0.0077976,            0.064798,             0.72609,              0.2246,             0.18206,              0.1238,            0.028653,           0.0077022,            0.061888,            0.009538,            0.009538,            0.009538
                  16,            0.030986,           0.0078479,            0.063189,             0.70521,             0.25086,             0.18777,             0.12686,            0.025536,           0.0074075,            0.060771,            0.009505,            0.009505,            0.009505
                  17,            0.032022,           0.0081147,            0.061235,             0.67605,             0.24451,             0.19322,             0.13385,             0.02739,           0.0072669,            0.060229,            0.009472,            0.009472,            0.009472
                  18,            0.031635,           0.0078819,            0.061356,             0.68546,             0.26451,             0.20612,             0.15169,            0.024149,           0.0071818,            0.058834,            0.009439,            0.009439,            0.009439
                  19,            0.031068,           0.0078597,            0.059783,              0.6766,             0.24742,             0.20532,             0.14214,            0.025521,           0.0071755,            0.057361,            0.009406,            0.009406,            0.009406
                  20,            0.030663,           0.0076018,             0.05987,             0.65762,             0.23264,             0.21169,              0.1433,            0.024947,           0.0070466,            0.056394,            0.009373,            0.009373,            0.009373
                  21,            0.030509,           0.0075184,            0.057916,              0.7413,             0.25048,             0.22311,             0.15961,            0.025032,           0.0067588,            0.055701,             0.00934,             0.00934,             0.00934
                  22,            0.030255,           0.0074541,            0.057552,             0.77399,             0.22046,             0.23492,             0.17308,            0.023789,           0.0068363,            0.055195,            0.009307,            0.009307,            0.009307
                  23,            0.029153,           0.0073452,            0.056416,             0.76161,             0.24521,             0.24168,             0.17759,            0.023596,           0.0068862,            0.053967,            0.009274,            0.009274,            0.009274
                  24,            0.028698,           0.0072138,            0.055612,             0.77698,             0.24487,             0.26163,             0.18805,            0.022627,           0.0065501,            0.053526,            0.009241,            0.009241,            0.009241
                  25,            0.029394,           0.0070802,            0.054558,             0.79657,             0.24705,             0.27869,             0.20114,            0.022703,           0.0066098,            0.052634,            0.009208,            0.009208,            0.009208
                  26,             0.02839,           0.0074206,            0.054694,             0.77499,             0.25986,              0.2812,             0.20248,            0.022812,           0.0067764,            0.051865,            0.009175,            0.009175,            0.009175
                  27,            0.027091,           0.0070695,            0.053377,             0.67321,             0.33955,             0.30442,             0.22088,            0.021514,           0.0064799,            0.051074,            0.009142,            0.009142,            0.009142
                  28,            0.027892,           0.0068462,            0.053291,             0.67835,             0.34492,             0.31044,              0.2213,            0.021903,           0.0065452,            0.050076,            0.009109,            0.009109,            0.009109
                  29,            0.027211,           0.0069574,            0.051078,              0.7706,             0.27571,             0.32506,             0.22552,            0.022044,           0.0065335,             0.04971,            0.009076,            0.009076,            0.009076
                  30,            0.026636,           0.0067816,            0.051843,             0.74052,              0.3337,             0.34538,             0.24569,            0.023735,           0.0063987,            0.048761,            0.009043,            0.009043,            0.009043
                  31,            0.026664,           0.0066953,            0.050933,             0.73025,             0.34761,             0.34902,             0.26183,            0.021697,            0.006503,            0.047919,             0.00901,             0.00901,             0.00901
                  32,            0.027682,           0.0067666,            0.048699,             0.80763,             0.30539,             0.35811,               0.244,            0.022835,            0.006591,            0.047485,            0.008977,            0.008977,            0.008977
                  33,            0.027307,           0.0068318,             0.05039,             0.81559,             0.32095,             0.37515,             0.27266,            0.020443,            0.006366,            0.046364,            0.008944,            0.008944,            0.008944
                  34,            0.027261,           0.0067448,            0.048119,             0.87539,             0.30829,             0.38239,             0.28123,            0.022251,           0.0064675,            0.045274,            0.008911,            0.008911,            0.008911
                  35,            0.026635,           0.0067619,             0.04661,             0.82204,             0.32901,             0.39142,             0.29293,            0.019747,           0.0061257,            0.044509,            0.008878,            0.008878,            0.008878
                  36,            0.027372,           0.0069622,            0.047379,             0.85713,              0.3285,             0.40375,             0.30714,            0.021474,           0.0063692,            0.043446,            0.008845,            0.008845,            0.008845
                  37,            0.027199,           0.0068048,            0.045446,             0.90669,             0.32484,             0.41762,             0.29831,            0.021515,           0.0064726,            0.042119,            0.008812,            0.008812,            0.008812
                  38,            0.026684,           0.0067087,            0.044454,             0.86719,             0.33151,             0.42783,              0.3306,            0.022819,           0.0063712,            0.040948,            0.008779,            0.008779,            0.008779
                  39,            0.026517,           0.0068007,            0.042879,             0.86382,             0.36018,               0.429,             0.31525,            0.021006,           0.0061587,            0.040266,            0.008746,            0.008746,            0.008746
                  40,             0.02629,           0.0066095,            0.042158,             0.84779,             0.36014,              0.4324,              0.3218,            0.021121,           0.0062453,            0.039306,            0.008713,            0.008713,            0.008713
                  41,            0.026065,            0.006759,            0.040213,             0.92567,             0.33922,             0.43668,             0.31588,            0.021669,           0.0062998,             0.03855,             0.00868,             0.00868,             0.00868
                  42,             0.02572,            0.006511,            0.039625,             0.87811,             0.35813,             0.44099,             0.33093,            0.019697,           0.0061492,            0.037651,            0.008647,            0.008647,            0.008647
                  43,            0.025398,           0.0065799,            0.040444,              0.9038,             0.35258,             0.45586,             0.33824,            0.021324,           0.0063323,            0.036843,            0.008614,            0.008614,            0.008614
                  44,            0.026197,           0.0066032,            0.038246,             0.90645,             0.35676,             0.46514,             0.36557,            0.020216,           0.0061294,            0.035905,            0.008581,            0.008581,            0.008581
                  45,             0.02498,            0.006706,            0.037094,             0.91017,             0.36959,             0.47553,             0.35686,            0.020788,           0.0060975,             0.03433,            0.008548,            0.008548,            0.008548
                  46,            0.025446,            0.006684,            0.037201,             0.94008,             0.36878,             0.48515,             0.36751,             0.02162,           0.0063481,            0.033922,            0.008515,            0.008515,            0.008515
                  47,            0.025198,           0.0065354,            0.037096,             0.82138,             0.40653,             0.48805,             0.36151,            0.020608,           0.0059696,            0.032845,            0.008482,            0.008482,            0.008482
                  48,            0.026235,           0.0066809,            0.036162,             0.83924,              0.4199,             0.49595,             0.35114,            0.022902,           0.0063169,            0.032587,            0.008449,            0.008449,            0.008449
                  49,            0.025071,            0.006333,            0.035335,             0.90377,             0.39594,             0.50125,             0.39029,             0.01972,           0.0061437,            0.031771,            0.008416,            0.008416,            0.008416
                  50,            0.025476,           0.0066294,            0.034563,             0.79622,             0.42809,             0.51663,             0.39628,            0.020819,           0.0061715,            0.030551,            0.008383,            0.008383,            0.008383
                  51,            0.025381,           0.0066137,            0.034236,             0.86322,              0.4228,             0.51524,             0.40064,            0.019066,           0.0059466,            0.030277,             0.00835,             0.00835,             0.00835
                  52,            0.025767,           0.0068905,            0.032899,             0.90169,              0.4117,             0.52127,             0.41234,            0.018943,           0.0059894,             0.02934,            0.008317,            0.008317,            0.008317
                  53,            0.025857,           0.0064057,            0.033542,              0.8674,              0.4276,             0.52404,             0.40704,            0.020741,           0.0060314,            0.028922,            0.008284,            0.008284,            0.008284
                  54,            0.025869,           0.0063471,            0.032922,             0.82121,             0.46114,             0.52874,             0.40108,            0.021396,           0.0061896,            0.028255,            0.008251,            0.008251,            0.008251
                  55,            0.024914,           0.0061242,             0.03198,              0.8638,             0.43063,             0.53207,             0.41335,            0.021264,           0.0060535,            0.027681,            0.008218,            0.008218,            0.008218
                  56,            0.024725,           0.0063843,            0.031111,             0.82686,             0.46275,             0.53721,             0.41583,            0.020212,           0.0059731,            0.026904,            0.008185,            0.008185,            0.008185
