Model summary: 157 layers, 7126096 parameters, 0 gradients, 16.1 GFLOPs
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████
                   all        900       1212      0.987      0.895      0.977      0.901
        speed limit 20        900          4      0.964          1      0.995      0.901
        speed limit 30        900         79      0.985          1      0.995      0.933
        speed limit 50        900         81      0.995          1      0.995      0.932
        speed limit 60        900         30      0.993          1      0.995       0.94
        speed limit 70        900         68      0.994          1      0.995      0.909
        speed limit 80        900         53      0.995          1      0.995      0.931
   restriction ends 80        900         19       0.99          1      0.995      0.907
       speed limit 100        900         41      0.995          1      0.995      0.929
       speed limit 120        900         57      0.993          1      0.995      0.913
         no overtaking        900         41      0.993          1      0.995      0.899
         no overtaking        900         80      0.997          1      0.995      0.902
priority at next intersection        900         38       0.99          1      0.995      0.926
         priority road        900         85      0.996          1      0.995      0.934
              give way        900         83      0.997          1      0.995      0.946
                  stop        900         31      0.993          1      0.995      0.943
  no traffic both ways        900         15      0.991          1      0.995      0.916
             no trucks        900          8       0.98          1      0.995      0.938
              no entry        900         29      0.977          1      0.995      0.876
                danger        900         38      0.993          1      0.995      0.918
             bend left        900          2          1          0      0.995      0.895
            bend right        900          9      0.981          1      0.995      0.907
                  bend        900          5          1      0.519      0.995      0.887
           uneven road        900         13      0.983          1      0.995      0.933
         slippery road        900         20      0.993          1      0.995      0.926
          road narrows        900          5          1      0.946      0.995       0.94
          construction        900         31      0.994          1      0.995      0.923
        traffic signal        900         18      0.966          1      0.995       0.93
   pedestrian crossing        900          3          1          0      0.995      0.951
       school crossing        900         14      0.975          1      0.995      0.944
       cycles crossing        900          5      0.959          1      0.995      0.939
                  snow        900         16      0.988          1      0.995       0.95
               animals        900          2          1          0      0.662      0.596
      restriction ends        900          8      0.975          1      0.995       0.92
              go right        900         16      0.961          1      0.995      0.909
               go left        900         12      0.974          1      0.995      0.902
           go straight        900         20      0.983          1      0.995      0.883
  go right or straight        900          9      0.986          1      0.995      0.911
   go left or straight        900          2          1          0      0.557      0.502
            keep right        900         88      0.998          1      0.995      0.926
             keep left        900          6      0.973          1      0.995      0.893
            roundabout        900         10      0.971          1      0.995      0.881
restriction ends (overtaking)        900          7      0.974          1      0.995      0.882
restriction ends (overtaking (trucks))        900         11      0.978          1      0.995      0.904
